03-22-2026 15:19:23 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,12%@729,0%@729,0%@729,7%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@51.937C soc0@53.156C gpu@52.75C tj@53.281C soc1@53.093C VDD_IN 5311mW/5522mW VDD_CPU_GPU_CV 599mW/780mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:24 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.812C soc2@51.968C soc0@53.062C gpu@52.687C tj@53.062C soc1@53.031C VDD_IN 5191mW/5513mW VDD_CPU_GPU_CV 519mW/773mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:25 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.125C soc2@52C soc0@52.906C gpu@53.093C tj@53.218C soc1@53.218C VDD_IN 5191mW/5504mW VDD_CPU_GPU_CV 519mW/766mW VDD_SOC 1600mW/1595mW
03-22-2026 15:19:26 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 17%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@51.937C soc0@53.093C gpu@53.031C tj@53.093C soc1@53.062C VDD_IN 5191mW/5496mW VDD_CPU_GPU_CV 519mW/760mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:27 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.812C soc2@51.906C soc0@53.031C gpu@52.968C tj@53.031C soc1@53C VDD_IN 5191mW/5488mW VDD_CPU_GPU_CV 519mW/753mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:28 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.031C soc2@52C soc0@52.937C gpu@52.968C tj@53.156C soc1@53.156C VDD_IN 5191mW/5481mW VDD_CPU_GPU_CV 519mW/748mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:29 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.843C soc2@51.937C soc0@53.125C gpu@52.843C tj@53.125C soc1@53.062C VDD_IN 5191mW/5474mW VDD_CPU_GPU_CV 519mW/742mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:30 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@51.843C soc0@53.031C gpu@52.812C tj@53.031C soc1@52.812C VDD_IN 5200mW/5467mW VDD_CPU_GPU_CV 479mW/736mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:31 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.656C soc2@51.781C soc0@52.937C gpu@52.75C tj@52.937C soc1@52.843C VDD_IN 5200mW/5461mW VDD_CPU_GPU_CV 479mW/730mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:32 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@51.937C soc0@52.875C gpu@52.781C tj@53.031C soc1@53.031C VDD_IN 5191mW/5455mW VDD_CPU_GPU_CV 479mW/724mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:33 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.843C soc2@51.906C soc0@53.062C gpu@52.75C tj@53.062C soc1@52.781C VDD_IN 5191mW/5449mW VDD_CPU_GPU_CV 479mW/719mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:34 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.625C soc2@51.875C soc0@53C gpu@52.718C tj@53C soc1@52.843C VDD_IN 5191mW/5443mW VDD_CPU_GPU_CV 479mW/713mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:35 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.906C soc2@51.875C soc0@52.875C gpu@52.437C tj@52.875C soc1@52.843C VDD_IN 5191mW/5438mW VDD_CPU_GPU_CV 479mW/708mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:36 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@51.875C soc0@53.031C gpu@52.687C tj@52.906C soc1@52.906C VDD_IN 5191mW/5433mW VDD_CPU_GPU_CV 519mW/705mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:37 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.75C soc2@51.843C soc0@52.937C gpu@52.687C tj@52.937C soc1@52.75C VDD_IN 5191mW/5428mW VDD_CPU_GPU_CV 519mW/701mW VDD_SOC 1597mW/1595mW
03-22-2026 15:19:38 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@51.812C soc0@52.812C gpu@52.687C tj@52.875C soc1@52.875C VDD_IN 5191mW/5423mW VDD_CPU_GPU_CV 519mW/697mW VDD_SOC 1597mW/1596mW
03-22-2026 15:19:39 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@51.843C soc0@53C gpu@52.687C tj@53C soc1@52.875C VDD_IN 5191mW/5419mW VDD_CPU_GPU_CV 479mW/693mW VDD_SOC 1597mW/1596mW
03-22-2026 15:19:40 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@51.812C soc0@52.906C gpu@52.562C tj@52.906C soc1@52.812C VDD_IN 5191mW/5414mW VDD_CPU_GPU_CV 519mW/689mW VDD_SOC 1597mW/1596mW
03-22-2026 15:19:41 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.531C soc2@51.937C soc0@52.843C gpu@52.531C tj@52.843C soc1@52.75C VDD_IN 5191mW/5410mW VDD_CPU_GPU_CV 479mW/685mW VDD_SOC 1597mW/1596mW
03-22-2026 15:19:42 RAM 5460/7620MB (lfb 19x4MB) SWAP 2/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.75C soc2@51.718C soc0@52.937C gpu@52.625C tj@52.937C soc1@52.875C VDD_IN 5191mW/5406mW VDD_CPU_GPU_CV 479mW/682mW VDD_SOC 1597mW/1596mW
